"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Porsche","Panamera 2",2012,54000,300,1,26000
"Toyota","Tacoma PreRunner",2008,202055,236,1,8500
"RAM","2500 Laramie",2019,65000,370,0,65000
"Cadillac","DTS Base",2010,49620,275,0,10499
"Toyota","Land Cruiser Base",1997,213000,212,0,26500
"Nissan","GT-R Premium",2020,16010,565,0,114000
"Audi","Q7 45 Premium Plus",2021,68000,248,0,36499
"Lexus","LX 470 Base",1999,82000,230,0,25000
"Ford","Escape Limited",2012,129000,171,1,7000
"Lexus","LS 460 L",2014,106731,360,1,30000
"Ford","Expedition Platinum",2019,34672,400,0,45500
"Chevrolet","Malibu LTZ",2010,55900,252,0,8950
"Audi","A5 2.0T Premium Plus",2015,82000,220,0,17000
"Scion","tC Base",2013,177600,180,1,7100
"Lincoln","MKZ Hybrid Base",2014,78568,188,0,15500
"Ford","Transit-350 XL",2018,95000,275,0,43000
"Volvo","XC90 3.2",2011,88300,235,1,11500
"Chevrolet","Avalanche LTZ",2013,98000,320,1,27499
"Audi","TT RS 2.5T",2018,20675,400,0,76000
"Lincoln","Navigator L",2008,95000,300,0,10900
"Hyundai","Elantra GLS",2010,107000,138,1,6250
"Audi","SQ5 3.0T Premium Plus",2016,60000,354,1,24700
"Mitsubishi","Lancer Evolution GSR",2012,33000,291,0,34999
"Tesla","Model Y Performance",2023,500,455,0,60000
"Mercedes-Benz","Maybach S S 600",2016,108500,523,0,63500
"Nissan","GT-R Premium",2017,37800,565,0,149500
"Ford","Expedition Max Limited",2022,26500,440,0,65900
"Lexus","LX 570 Three-Row",2019,19050,383,0,76900
"Chevrolet","Traverse Premier",2020,52000,310,0,35800
"Mercedes-Benz","Sprinter High Roof",2014,65000,188,1,54999
"BMW","X5 3.0i",2004,140000,225,0,6730
"Ford","Fusion SE",2018,75600,181,1,14950
"Lincoln","MKZ Base",2015,117292,240,0,12000
"Genesis","G90 5.0 Ultimate",2017,26000,420,0,33600
"Saturn","Sky Base",2008,15020,173,0,18500
"Mercedes-Benz","SL-Class SL 550",2013,115000,429,1,36000
"Porsche","911 Carrera C2S",2005,28500,355,0,63500
"Mercedes-Benz","AMG GLA 45 Base 4MATIC",2018,51700,375,0,32000
"Ford","Taurus X Limited",2008,148949,263,0,3900
"BMW","440 Gran Coupe i",2018,39300,320,1,31750
"Honda","S2000 CR",2008,82323,237,0,28500
"Ford","Excursion Limited",2001,109357,310,0,12749
"Mercedes-Benz","SL-Class SL500 Roadster",2004,46000,302,0,18853
"Mercedes-Benz","CLS-Class CLS 550",2007,123112,382,1,104999
"INFINITI","G35 Sport",2007,37100,306,0,16900
"Volkswagen","Golf GTI 2.0T S 4-Door",2016,89000,210,0,14500
"Lincoln","Navigator L Reserve",2019,67073,450,1,47999
"Tesla","Model X Base",2023,8200,670,0,93999
"Mercedes-Benz","AMG G 63 Base",2018,41000,563,0,108900
"Volkswagen","Routan SE",2012,123815,283,0,5000
"Land","Rover Range Rover Supercharged",2008,114287,400,0,9900
"Acura","ILX 2.0L w/Premium Package",2015,75000,150,0,14500
"BMW","X6 sDrive35i",2016,70582,300,1,35000
"Porsche","Cayman S",2014,33088,325,0,49750
"Lincoln","Corsair Grand Touring",2021,1850,266,0,49000
"Cadillac","DTS Luxury II",2008,94155,275,0,10500
"Cadillac","ATS 3.6L Luxury",2016,25000,335,0,17999
"GMC","Sierra 1500 SLT",2016,99500,355,0,27995
"INFINITI","G37 x",2009,158564,328,0,8750
"Ford","Transit-350 XLT",2023,20000,310,0,78499
"Cadillac","XTS Luxury",2018,46711,304,1,20850
"Nissan","NV Passenger NV3500 HD SL V8",2017,46496,375,0,41000
"Mercedes-Benz","GLS 450 Base 4MATIC",2019,19800,362,0,53800
"Toyota","Land Cruiser Base",2008,175000,381,1,37900
"Toyota","Land Cruiser Base",2016,61500,381,0,63500
"RAM","ProMaster 2500 Window Van High Roof",2016,49750,280,0,65000
"Lamborghini","Gallardo Base",2007,38800,493,0,100000
"Lincoln","MKZ Base",2011,83765,263,0,8995
"Mercedes-Benz","EQS 450 4MATIC",2023,7388,355,0,105500
"Lamborghini","Urus Base",2021,13692,641,0,257000
"INFINITI","G37 x",2013,60058,328,1,15000
"Maserati","Levante S",2017,54423,424,0,33950
"Ford","Shelby GT500 Base",2022,2050,760,0,94999
"Lincoln","Navigator L Reserve",2019,64855,450,0,46995
"Mercedes-Benz","EQS 450+ Base",2022,16238,329,0,62479
"Lincoln","Town Car Base",2004,36524,239,0,14900
"Honda","CR-V EX",2003,224000,160,0,3900
"Mercedes-Benz","E-Class E 550",2014,80581,402,0,26000
"Mazda","MX-5 Miata Grand Touring",2007,81400,166,1,11000
"Porsche","718 Boxster Base",2019,6700,300,0,63000
"Ford","Transit-350 XLT",2015,143000,275,0,22500
"INFINITI","G37 S Sport",2010,116451,328,0,16500
"Nissan","Titan XD S",2019,53677,390,0,27900
"Audi","S7 2.9T Prestige",2021,12000,444,0,77500
"Ford","Transit-350 XLT",2020,32000,210,0,68000
"INFINITI","Q70 3.7",2014,70312,330,0,19995
"Jeep","Gladiator Rubicon",2022,8794,285,0,54000
"Lincoln","MKX Base",2010,156000,265,1,5900
"Mercedes-Benz","AMG C 43 Base 4MATIC",2018,67100,362,1,34250
"Porsche","Cayman Base",2014,52000,275,1,37000
"Acura","MDX 3.7L Advance",2011,137200,300,0,12000
"Volkswagen","Golf R 4-Door w/DCC & Navigation",2018,36000,292,1,32000
"Kia","Forte GT-Line",2023,15500,147,1,24500
"BMW","i8 Base",2015,846,357,0,86999
"Lincoln","MKZ Reserve",2017,37375,400,0,27500
"Tesla","Model 3 Standard Range Plus",2021,21600,271,0,31000
"Porsche","718 Cayman S",2019,9500,350,1,69000
"Chevrolet","Corvette Base",2005,143095,400,0,16000
"Acura","RSX Type S",2002,80000,200,1,8500
"Ferrari","Roma Base",2021,3000,611,0,275000
"Porsche","Cayman S",2007,5856,295,0,45000
"Mercedes-Benz","AMG GLS 63 4MATIC",2022,4102,603,0,144664
"Honda","Ridgeline RTL-E",2021,14442,280,0,38500
"Mercedes-Benz","CLK-Class 500 Cabriolet",2005,64000,302,0,12995
"Lexus","GX 470 Base",2004,154000,235,1,10000
"Lexus","NX 200t Base",2015,54000,235,0,27000
"Dodge","Dakota SLT Quad Cab",2007,232492,210,1,6000
"Mercedes-Benz","AMG GLC 63 Base 4MATIC",2018,71962,469,0,46900
"Subaru","BRZ Premium",2023,5800,228,0,29990
"BMW","640 i",2016,40080,315,0,28499
"Kia","Stinger GT2",2020,57000,365,1,36500
"Subaru","Forester 2.5 XT",2004,122000,210,1,9999
"BMW","M4 Base",2016,62500,425,1,40500
"Hyundai","Equus Signature",2013,72000,429,0,17500
"BMW","M550 i xDrive",2020,40000,523,0,53000
"Subaru","Impreza WRX STI",2014,77000,305,1,30000
"Hyundai","Veloster Base",2013,800,132,0,9800
"Maserati","GranTurismo Sport",2015,45000,454,0,41900
"INFINITI","M56 Base",2011,137000,420,1,8500
"Chevrolet","Corvette Stingray w/1LT",2023,4000,490,1,73900
"Lexus","GX 460 Base",2018,52100,301,0,38000
"BMW","X1 sDrive28i",2014,50100,240,0,10795
"Alfa","Romeo Stelvio Ti",2020,41000,280,0,32400
"RAM","1500 Big Horn",2021,70968,395,0,34000
"BMW","M4 Base",2015,26600,425,0,53000
"Tesla","Model X Long Range",2022,15443,670,0,84500
"Volvo","S90 T5 Momentum",2018,95000,250,0,18000
"Subaru","Impreza WRX Sti",2005,94000,300,0,19500
"Cadillac","CTS 2.0L Turbo Luxury",2014,110000,272,0,11000
"Genesis","G90 5.0 Ultimate",2017,63500,420,0,27500
"Mercedes-Benz","CLK-Class CLK 350",2009,21500,268,1,18000
"BMW","X1 xDrive28i",2020,18200,228,1,29500
"Audi","R8 5.2",2015,51000,550,1,102000
"Audi","S3 2.0T Tech Premium Plus",2018,16400,292,0,42800
"Toyota","Tundra Hybrid TRD Pro",2022,7000,437,0,75500
"Audi","A6 2.0T Premium Plus",2016,68000,252,1,20000
"BMW","328 xi",2007,83000,230,0,8995
"Audi","SQ5 3.0T Prestige",2018,25000,354,0,50000
"BMW","M235 i",2014,125450,320,0,17200
"Chevrolet","Express 3500 Base",2008,144000,323,0,22000
"Audi","TT 2.0T",2015,126760,211,1,14000
"Subaru","Outback 3.6R Touring",2017,100680,256,0,20500
"Mitsubishi","Eclipse Spyder GS",2001,90400,140,0,4495
"BMW","M5 Base",2018,20500,600,0,67000
"Dodge","Ram 1500 ST",2011,134000,390,1,10500
"Ford","Fusion Energi Titanium",2015,84352,188,1,10000
"Toyota","Tundra Hybrid TRD Pro",2022,19000,437,0,71000
"Land","Rover Range Rover Evoque Pure",2015,115550,240,0,17500
"Lincoln","Navigator Base",2009,191775,310,1,9750
"Mercedes-Benz","Sprinter 3500 High Roof",2017,124630,188,0,75000
"Mercedes-Benz","AMG E 63 S 4MATIC",2019,17000,603,0,95000
"BMW","440 i xDrive",2018,73500,320,0,32000
"Acura","Integra LS",1998,120000,140,1,5500
"BMW","M6 Base",2014,29500,560,0,40999
"Lexus","LX 600 F SPORT",2023,1185,409,0,120990
"INFINITI","Q40 Base",2015,143250,328,0,11500
"BMW","Z4 3.0i Roadster",2006,46508,215,1,11500
"BMW","M6 Base",2015,18651,560,0,59549
"Rivian","R1S Adventure Package",2023,5700,835,0,95000
"BMW","Z4 sDrive28i",2015,57550,240,0,29995
"Cadillac","CTS-V Base",2017,48600,640,0,60999
"Ford","Transit Connect XL",2020,119000,169,0,18000
"Land","Rover Range Rover Velar SVAutobiography Dynamic Edition",2020,36500,550,0,72000
"Lexus","IS 250 Base",2010,121250,204,1,13250
"BMW","X7 xDrive40i",2023,2437,375,0,78350
"Volvo","XC90 T6 Momentum",2018,110380,316,1,22000
"Hyundai","Tucson Limited",2008,149000,173,0,3850
"Mercedes-Benz","AMG C 43 Base 4MATIC",2017,39000,362,1,39000
"Audi","RS Q8 4.0T",2020,41856,591,0,91500
"Rivian","R1S Adventure Package",2023,655,835,0,94500
"Toyota","RAV4 Hybrid XLE",2019,54000,219,0,33000
"Alfa","Romeo Stelvio Quadrifoglio",2019,26500,505,0,53900
"Cadillac","Escalade EXT Base",2007,99000,403,0,22999
"Nissan","350Z Enthusiast",2005,130307,287,0,9950
"Subaru","Legacy 2.5 i Premium",2010,178000,170,0,7600
"Honda","Civic LX",2003,160265,115,1,3000
"McLaren","570S Spider",2020,8700,562,0,185000
"Maserati","Ghibli S Q4",2016,1000,404,0,36000
"Maserati","Ghibli S Q4",2017,49750,404,0,27995
"Lexus","RX 300 Base",2002,121000,220,0,6348
"Lincoln","Aviator Luxury",2005,140000,302,0,2000
"Lincoln","MKS EcoBoost",2016,38100,365,0,21000
"Toyota","Yaris Base",2010,138071,106,0,5000
"Mercedes-Benz","AMG E 63 S 4MATIC",2019,40000,603,1,72000
"Mercedes-Benz","G-Class G 550 4MATIC",2019,47850,416,1,127899
"Hyundai","Veloster Turbo R-Spec",2014,128000,201,0,11000
"Mercedes-Benz","S-Class S 580 4MATIC",2021,4700,496,0,99900
"Mazda","MX-5 Miata Base",1999,96680,140,1,12900
"Mercedes-Benz","AMG C 43 Base",2017,53500,362,1,33999
"Chevrolet","Corvette Z06",2007,11025,505,0,47500
"Ford","F-250 King Ranch",2021,44000,475,1,73000
"Volkswagen","Tiguan 2.0T SE",2022,11000,184,0,27900
"BMW","750 Li xDrive",2012,103000,407,0,16000
"BMW","M3 CS",2024,456,543,0,128995
"Lexus","GX 460 Base",2018,64000,301,0,37300
"Audi","Q7 3.0T Premium",2017,108000,333,0,25999
"Alfa","Romeo Stelvio Ti Sport",2018,37045,280,1,26600
"BMW","M3 Base",2015,65800,425,0,44950
"Rolls-Royce","Ghost Base",2021,850,563,0,314900
"Audi","e-tron Prestige",2019,33012,355,0,38000
"Lexus","IS 250 Base",2011,107818,204,1,11400
"Land","Rover Range Rover Evoque SE Premium",2016,79500,240,0,19000
"Ferrari","California T",2015,20000,553,1,124990
"Lexus","LC 500 Base",2018,37000,471,0,63997
"GMC","Sierra 1500 SLE Crew Cab",2005,131800,295,1,5800
"Lexus","ES 350 Base",2008,146000,272,0,8995
"Nissan","370Z NISMO",2010,29000,350,0,29000
"Dodge","Ram 1500 Laramie",2004,141209,345,0,5700
"Ford","Expedition Limited",2016,85253,365,0,19995
"INFINITI","QX70 Base",2015,87009,325,0,17800
"Lincoln","Navigator Select",2016,158000,380,0,19780
"Volvo","V60 Cross Country T5",2020,10500,250,0,36000
"Audi","A7 3.0T Premium Plus",2018,45843,340,0,37000
"Volkswagen","Eurovan MV",2001,220000,140,0,5500
"Jaguar","F-TYPE R",2017,58000,550,0,51500
"Rivian","R1S Adventure Package",2023,2500,835,0,91000
"Lexus","LX 570 Three-Row",2018,50000,383,0,65000
"Land","Rover Range Rover Velar P250 SE R-Dynamic",2019,58000,247,0,38000
"Lexus","LC 500 Base",2018,61000,471,0,65000
"Audi","SQ5 3.0T Prestige",2019,48500,349,1,43500
"Land","Rover Range Rover Velar P250 SE R-Dynamic",2018,65680,247,1,34900
"Cadillac","Escalade ESV Sport",2021,8044,420,0,93000
"Mercedes-Benz","AMG GT AMG GT S",2016,9738,503,0,85500
"BMW","M3 Base",2009,112000,420,1,28000
"Honda","Accord EX-L",2009,167300,190,0,6250
"Cadillac","Escalade Premium",2015,71000,420,1,35999
"BMW","X2 xDrive28i",2022,33000,228,0,29999
"Buick","Verano Convenience",2013,68325,180,0,11995
"RAM","2500 Tradesman",2021,34365,410,1,48000
"Mercedes-Benz","Metris Base",2018,32000,208,0,44900
"Volvo","XC90 T6 Inscription",2020,22500,316,0,50000
"Ford","Expedition King Ranch",2020,58700,375,1,48999
"Toyota","Highlander Hybrid Limited",2006,264893,208,1,5000
"Toyota","Tundra SR5 Access Cab",2005,209500,282,0,8500
"Ford","Transit-350 Base",2023,195,310,0,87500
"Chevrolet","Express 3500 LT",2016,120000,260,0,19500
"Chevrolet","Bolt EUV Premier",2022,14676,200,0,33000
"BMW","X7 xDrive40i",2023,2950,375,0,87000
"BMW","X1 xDrive28i",2021,25918,228,0,32000
"BMW","135 i",2008,87000,300,0,15300
"Mazda","Mazda3 Touring",2018,28333,184,0,20500
"Audi","A7 3.0T Premium Plus",2018,29294,340,0,39999
"Saturn","Sky Red Line",2008,37000,260,0,14995
"BMW","Z4 2.5i Roadster",2005,138000,184,0,9950
"Volvo","XC90 Hybrid T8 Inscription",2020,44487,400,0,65000
"Chevrolet","Tahoe High Country",2021,53000,420,1,67100
"Tesla","Model Y Long Range",2021,61308,425,0,42000
"BMW","550 Gran Turismo i",2013,79341,445,0,16800
"Land","Rover Range Rover Sport HSE",2007,220000,300,0,5750
"BMW","430 i xDrive",2021,16900,255,0,43000
"Porsche","Cayman Base",2007,75137,245,1,24999
"Ford","Mustang Shelby GT500",2012,6400,550,0,48000
"Tesla","Model Y Long Range",2021,69548,425,1,36300
"Nissan","370Z Base",2009,79893,332,0,15900
"Toyota","Sequoia Platinum",2014,124838,381,0,33000
"Nissan","NV Passenger NV3500 HD SL V8",2020,14353,375,0,63900
"Ford","Transit Connect XL w/Rear Symmetrical Doors",2022,22985,169,0,33500
"INFINITI","QX80 Base",2014,161894,400,0,18900
"Aston","Martin V8 Vantage Base",2008,25025,380,1,39000
"Lotus","Evora 400 Base",2017,19650,400,0,69250
"Land","Rover Range Rover Velar P250 S R-Dynamic",2020,29500,247,0,45000
"Nissan","Xterra S",2007,132272,261,1,6700
"Dodge","Charger R/T",2012,122000,370,1,13500
"Nissan","Leaf S",2018,56450,147,1,13999
"Nissan","Leaf SL",2012,102000,107,0,4200
"Nissan","Z Proto Spec",2023,535,400,0,65990
"Bentley","Continental GT Base",2004,69600,550,0,37900
"Jaguar","F-TYPE R",2018,39900,550,0,53600
"Cadillac","Escalade ESV Sport",2021,36500,420,0,85000
"Audi","TT 2.0T",2018,42650,220,0,31990
"Audi","S6 4.0T",2016,91188,450,0,29995
"GMC","Sierra 2500 SLE",2015,116210,360,0,31900
"Ford","C-Max Energi SE",2017,67482,188,1,11499
"Cadillac","Escalade ESV Platinum",2018,67726,420,0,52000
"Audi","TT 3.2 Cabriolet quattro",2008,207000,250,1,10500
"Mercedes-Benz","AMG GLE AMG GLE 63 S-Model 4MATIC",2016,44000,577,0,46599
"Mercedes-Benz","SL-Class SL 550",2015,11249,429,0,54500
"Acura","MDX 3.5L Technology Package",2014,111650,290,1,17500
"Audi","A7 Premium",2012,103272,310,0,15500
"BMW","M2 Base",2023,1160,453,0,73600
"Audi","Q5 2.0T Premium Plus",2013,111773,211,0,17000
"Cadillac","XTS Luxury",2019,54002,304,1,22500
"Volkswagen","Jetta 1.4T SE",2016,87000,150,1,13000
"Ford","Focus RS Base",2016,49700,350,0,31700
"Mercedes-Benz","AMG C 63 S",2017,34500,503,0,64600
"BMW","330e iPerformance",2017,41550,247,0,20995
"Acura","MDX 3.7L Advance",2013,20750,300,0,33000
"Genesis","G70 3.3T",2022,12000,365,0,41000
"Lexus","LX 570 Three-Row",2021,14206,383,0,98000
